SEP Reference Time,Flare Magnitude Deprecated,Flare Xray Start Time,Flare Xray Peak Time,Flare Xray End Time,Flare Class,Flare Magnitude,Flare Integrated Flux,Flare Duration,Flare Xray Time To Peak,Flare Catalog ID,Event Source Latitude,Event Source Longitude,Event Source Reference,CDAW CME Speed,GOES Xray Satellite,Comments
1992-11-29 12:33:00,1.4e-05,,,,M2.0,0.000020000,,,,,-16.0,1.0,IGR List,,,IGR List
1993-05-14 22:53:00,4.4e-05,,,,M6.2,0.000062857,,,,,19.0,48.0,IGR List,,,IGR List
1993-09-25 18:00:00,,,,,,,,,,,,,IGR List,,,IGR List
1994-09-16 04:00:00,,,,,,,,,,,,,IGR List,,,IGR List
1994-10-25 15:53:00,4.7e-06,,,,C6.7,0.0000067143,,,,,-6.0,11.0,IGR List,,,IGR List
1995-04-22 11:50:00,7.1e-05,1995-04-22 11:37:00,1995-04-22 11:51:00,1995-04-22 11:59:00,X1.0,0.00010157143697142601,0.06453514099121094,22.0,14.0,199504221137.0,0.0,90.0,IGR List,,8.0,IGR List
1996-11-30 06:00:00,,,,,,,,,,,,,IGR List,,,IGR List
1997-04-07 13:58:00,7e-06,1997-04-07 13:46:00,1997-04-07 14:07:00,1997-04-07 14:19:00,C9.0,9.014285751618445e-06,0.009981523267924786,33.0,21.0,199704071346.0,-28.0,-19.0,IGR List,878.0,8.0,IGR List
1997-05-12 04:54:00,1e-06,,,,C1.4,0.0000014286,,,,,21.0,7.0,IGR List,464.0,,IGR List
1997-11-13 21:20:00,,,,,,,,,,,,110.0,IGR List,546.0,,IGR List
1997-11-14 13:00:00,,,,,,,,,,,,120.0,IGR List,702.0,,IGR List
1998-05-27 13:38:00,8e-06,1998-05-27 13:09:00,1998-05-27 13:35:00,,M0.9,9.971428880817257e-06,,,26.0,199805271309.0,18.0,58.0,IGR List,878.0,8.0,IGR List
1998-06-04 02:04:00,,,,,,,,,,,,120.0,IGR List,1802.0,,IGR List
1998-06-16 18:19:00,1e-05,1998-06-16 17:58:00,1998-06-16 18:40:00,1998-06-16 19:28:00,M1.4,1.4185713553160895e-05,0.04906448721885681,90.0,42.0,199806161758.0,,115.0,IGR List,1484.0,8.0,IGR List
1998-08-19 22:07:00,0.0004,,,,X5.7,0.00057143,,,,,32.0,-75.0,IGR List,,,IGR List
1998-09-06 06:24:00,1e-06,,,,C1.4,0.0000014286,,,,,,118.0,IGR List,,,IGR List
1998-09-09 05:00:00,3e-05,,,,M4.2,0.000042857,,,,,,75.0,IGR List,,,IGR List
1998-10-18 21:12:00,,,,,,,,,,,,130.0,IGR List,,,IGR List
1998-11-22 06:38:00,0.0003,,,,X4.2,0.00042857,,,,,-27.0,82.0,IGR List,,,IGR List
1998-11-24 02:17:00,0.0001,1998-11-24 02:03:00,1998-11-24 02:20:00,1998-11-24 02:37:00,X1.5,0.00015428572078235447,0.1741739958524704,34.0,17.0,199811240203.0,,108.0,IGR List,1798.0,8.0,IGR List
1999-05-09 18:17:00,8e-05,1999-05-09 17:48:00,1999-05-09 18:07:00,1999-05-09 18:15:00,X1.0,0.00010985715198330581,0.0914502888917923,27.0,19.0,199905091748.0,,95.0,IGR List,615.0,8.0,IGR List
1999-05-27 10:50:00,,,,,,,,,,,,120.0,IGR List,1691.0,,IGR List
1999-06-11 00:39:00,,,,,,,,,,,,120.0,IGR List,719.0,,IGR List
