Date,SEP Start Hour,Maximum Proton Energy,Proton Intensity,Type III Time,Flare Start Hour,H-alpha Location,CME First Appearance Hour,CME First Look Time,CME Width,CME Speed,Group,Flare Xray Start Time Deprecated,Flare Xray Peak Time Deprecated,Flare Class Deprecated,Flare Magnitude Deprecated,Flare Time to Peak Deprecated,Flare Xray Start Time,Flare Xray Peak Time,Flare Xray End Time,Flare Class,Flare Magnitude,Flare Integrated Flux,Flare Duration,Flare Time To Peak,Flare Catalog ID,GOES Xray Satellite,Radio Type III Start Time,Radio Type III End Time,Radio TyII Imp,CDAW CME First Look Time,CDAW CME Speed,CDAW CME Width,CDAW CME Mean Position Angle,Event Source Latitude,Event Source Longitude,Shock Passage Speed,SEP Reference Start,Comments
1998-06-04,14,40,0.0004,~0200,,S;120W,204,1998-06-04 02:04:00,110,1802,,,,,,,,,,,,,,,,,1998-06-04 02:00:00,,,1998-06-04 02:04:45,1802,360,Halo,,120,,1998-06-04 14:00:00,Southern event; No Type II data available
1998-06-16,21,70,0.01,~1810,1803,S;115W,1827,1998-06-16 18:27:00,100,1484,,1998-06-16 18:03:00,1998-06-16 18:42:00,M1,1.00E-05,39,1998-06-16 17:58:00,1998-06-16 18:40:00,1998-06-16 19:28:00,M1.4,1.42E-05,0.049064487,90,42,199806161758,8,1998-06-16 18:10:00,,1,1998-06-16 18:27:05,1484,281,341,,115,,1998-06-16 21:00:00,Passing shock not related to the source solar activity caused a related increase of particle intensity; Southern event
1998-08-18,24,70,0.002,2215-2220,2210,33N;087E,,,,,,1998-08-18 22:10:00,1998-08-18 22:19:00,X5,0.0005,9,1998-08-18 22:05:00,1998-08-18 22:19:00,1998-08-18 22:28:00,X7.0,0.000702857,0.449998051,23,14,199808182205,8,1998-08-18 22:15:00,1998-08-18 22:20:00,3,,,,,33,-87,,1998-08-19 00:00:00,CDAW CME First Look Time data gap. CDAW CME Width data gap. CDAW CME Speed data gap. Passing shock not related to the source solar activity caused a related increase of particle intensity
1998-08-19,23,120,0.008,2145-2155,2135,32N;075E,,,,,,1998-08-19 21:35:00,1998-08-19 21:45:00,X4,0.0004,10,1998-08-19 21:32:00,1998-08-19 21:45:00,1998-08-19 21:50:00,X5.5,0.000557143,0.222005144,18,13,199808192132,8,1998-08-19 21:45:00,1998-08-19 21:55:00,3,,,,,32,-75,,1998-08-19 23:00:00,CDAW CME First Look Time data gap. CDAW CME Width data gap. CDAW CME Speed data gap. Passing shock not related to the source solar activity caused a related increase of particle intensity
1998-08-24,23,900,1.6,2205-2230,2150,35N;009E,,,,,2,1998-08-24 21:50:00,1998-08-24 22:12:00,X1,0.0001,22,1998-08-24 21:44:00,1998-08-24 22:12:00,1998-08-24 22:35:00,X1.5,0.000157143,0.234566227,51,28,199808242144,8,1998-08-24 22:05:00,1998-08-24 22:30:00,3,,,,,35,-9,1260,1998-08-24 23:00:00,CDAW CME First Look Time data gap. CDAW CME Width data gap. CDAW CME Speed data gap
1998-09-06,7,75,0.008,~0500,454,21S;036W,,,,,1,1998-09-06 04:54:00,1998-09-06 04:58:00,C1,1.00E-06,4,1998-09-06 04:54:00,1998-09-06 04:58:00,,C1.4,1.43E-06,,,,,,1998-09-06 05:00:00,,0,,,,,-21,36,,1998-09-06 07:00:00,CDAW CME First Look Time data gap. CDAW CME Width data gap. CDAW CME Speed data gap; No clear evidence of Type II burst in dynamic spectra
1998-09-09,6,50,0.003,0455-0500,452,21S;075W,,,,,1,1998-09-09 04:52:00,1998-09-09 04:58:00,M2,2.00E-05,6,1998-09-09 04:52:00,1998-09-09 04:58:00,,M2.8,2.86E-05,,,,,,1998-09-09 04:55:00,1998-09-09 05:00:00,2,,,,,-21,75,,1998-09-09 06:00:00,CDAW CME First Look Time data gap. CDAW CME Width data gap. CDAW CME Speed data gap
1998-09-20,27,70,0.0003,0235-0250,233,22N;062E,,,,,,1998-09-20 02:33:00,1998-09-20 02:51:00,M2,2.00E-05,18,1998-09-20 02:29:00,1998-09-20 02:51:00,1998-09-20 03:28:00,M2.7,2.71E-05,0.064132974,59,22,199809200229,8,1998-09-20 02:35:00,1998-09-20 02:50:00,3,,,,,22,-62,,1998-09-21 03:00:00,Event has a slow rise. CDAW CME First Look Time data gap. CDAW CME Width data gap. CDAW CME Speed data gap
1998-09-23,10,120,0.009,0700-0715,640,19N;009E,,,,,5,1998-09-23 06:40:00,1998-09-23 07:13:00,M7,7.00E-05,33,1998-09-23 06:35:00,1998-09-23 07:13:00,1998-09-23 07:32:00,X0.9,9.96E-05,0.174995154,57,38,199809230635,8,1998-09-23 07:00:00,1998-09-23 07:15:00,3,,,,,19,-9,1020,1998-09-23 10:00:00,Event has a slow rise. CDAW CME First Look Time data gap. CDAW CME Width data gap. CDAW CME Speed data gap
1998-09-27,9,50,0.001,0805-0810,806,21N;048W,,,,,1,1998-09-27 08:06:00,1998-09-27 08:13:00,C3,3.00E-06,7,1998-09-27 08:05:00,1998-09-27 08:13:00,1998-09-27 08:23:00,C3.7,3.77E-06,0.002828743,18,8,199809270805,8,1998-09-27 08:05:00,1998-09-27 08:10:00,0,,,,,21,48,,1998-09-27 09:00:00,CDAW CME First Look Time data gap. CDAW CME Width data gap. CDAW CME Speed data gap; No clear evidence of Type II burst in dynamic spectra
1998-09-30,14,300,6.7,1320-1350,1304,19N;085W,,,,,2,1998-09-30 13:04:00,1998-09-30 13:48:00,M3,3.00E-05,44,1998-09-30 12:59:00,1998-09-30 13:48:00,,M4.0,4.10E-05,,,49,199809301259,8,1998-09-30 13:20:00,1998-09-30 13:50:00,,,,,,19,85,1010,1998-09-30 14:00:00,CDAW CME First Look Time data gap. CDAW CME Width data gap. CDAW CME Speed data gap; No Type II data available
1998-10-18,22,120,0.022,2105-2110,,N;120W,,,,,1,,,,,,,,,,,,,,,,1998-10-18 21:05:00,1998-10-18 21:10:00,,,,,,,120,,1998-10-18 22:00:00,CDAW CME First Look Time data gap. CDAW CME Width data gap. CDAW CME Speed data gap; Nothern Event; No Type II data available
1998-11-05,22,60,0.0006,,1900,26N;018W,2044,1998-11-05 20:44:00,60,1118,5,1998-11-05 19:00:00,1998-11-05 19:55:00,M9,9.00E-05,55,1998-11-05 19:32:00,1998-11-05 19:55:00,1998-11-05 20:12:00,X1.2,0.000120714,0.157788858,40,23,199811051932,8,,,,1998-11-05 20:44:02,1118,360,Halo,26,18,730,1998-11-05 22:00:00,Event has a slow rise; No Type II data available
1998-11-14,6,400,2.28,0500-0535,,N;120W,,,,,2,,,,,,,,,,,,,,,,1998-11-14 05:00:00,1998-11-14 05:35:00,3,,,,,,120,,1998-11-14 06:00:00,CDAW CME First Look Time data gap. CDAW CME Width data gap. CDAW CME Speed data gap; Nothern Event
1998-11-22,8,200,0.04,0640-0645,630,27S;082W,,,,,,1998-11-22 06:30:00,1998-11-22 06:42:00,X4,0.0004,12,1998-11-22 06:25:00,1998-11-22 06:42:00,1998-11-22 06:49:00,X5.3,0.000537143,0.303215414,24,17,199811220625,8,1998-11-22 06:40:00,1998-11-22 06:45:00,3,,,,,-27,82,,1998-11-22 08:00:00,CDAW CME First Look Time data gap. CDAW CME Width data gap. CDAW CME Speed data gap
1998-11-24,3,120,0.011,0215-0220,207,S;108W,230,1998-11-24 02:30:00,110,1798,1,1998-11-24 02:07:00,1998-11-24 02:20:00,X1,0.0001,13,1998-11-24 02:03:00,1998-11-24 02:20:00,1998-11-24 02:37:00,X1.5,0.000154286,0.174173996,34,17,199811240203,8,1998-11-24 02:15:00,1998-11-24 02:20:00,3,1998-11-24 02:30:05,1798,360,Halo,,108,,1998-11-24 03:00:00,Southern event
1998-12-17,11,25,0.0003,0745-0750,740,27S;046W,830,1998-12-17 08:30:00,,302,1,1998-12-17 07:40:00,1998-12-17 07:45:00,M3,3.00E-05,5,1998-12-17 07:36:00,1998-12-17 07:45:00,1998-12-17 07:49:00,M4.5,4.59E-05,0.014011886,13,9,199812170736,8,1998-12-17 07:45:00,1998-12-17 07:50:00,3,1998-12-17 08:30:05,302,360,Halo,-27,46,,1998-12-17 11:00:00,CDAW CME Width data gap
1999-01-03,16,30,0.0005,1450-1520,1449,23S;049W,,,,,3,1999-01-03 14:49:00,1999-01-03 15:14:00,C6,6.00E-06,25,1999-01-03 14:42:00,1999-01-03 15:09:00,1999-01-03 15:57:00,C8.9,8.91E-06,0.030833144,75,27,199901031442,8,1999-01-03 14:50:00,1999-01-03 15:20:00,,,,,,-23,49,,1999-01-03 16:00:00,CDAW CME First Look Time data gap. CDAW CME Width data gap. CDAW CME Speed data gap; No Type II data available
1999-01-06,25,30,0.0006,2400-2410,2354,S;095W,,,,,,1999-01-06 23:54:00,1999-01-07 00:06:00,C8,8.00E-06,12,1999-01-06 23:49:00,1999-01-07 00:06:00,1999-01-07 00:44:00,M1.1,1.15E-05,0.021427458,55,17,199901062349,8,,,3,,,,,,95,,1999-01-07 01:00:00,CDAW CME First Look Time data gap. CDAW CME Width data gap. CDAW CME Speed data gap; Southern event
1999-01-20,21,120,0.02,1905-1955,1906,S;095E,,,,,5,1999-01-20 19:06:00,1999-01-20 20:04:00,M5,5.00E-05,58,1999-01-20 18:52:00,1999-01-20 20:04:00,1999-01-20 21:02:00,M7.5,7.54E-05,0.367142588,130,72,199901201852,8,1999-01-20 19:05:00,1999-01-20 19:55:00,,,,,,,-95,,1999-01-20 21:00:00,CDAW CME First Look Time data gap. CDAW CME Width data gap. CDAW CME Speed data gap. Passing shock not related to the source solar activity caused a related increase of particle intensity; Southern event; No Type II data available
1999-02-16,6,70,0.001,0300-0320,249,23S;014W,,,,,,1999-02-16 02:49:00,1999-02-16 03:12:00,M2,2.00E-05,23,1999-02-16 02:49:00,1999-02-16 03:12:00,,M2.8,2.86E-05,,,,,,1999-02-16 03:00:00,1999-02-16 03:20:00,2,,,,,-23,14,870,1999-02-16 06:00:00,CDAW CME First Look Time data gap. CDAW CME Width data gap. CDAW CME Speed data gap
1999-04-24,15,70,0.1,1300-1340,,S;120W,1331,1999-04-24 13:31:00,120,1495,3,,,,,,,,,,,,,,,,1999-04-24 13:00:00,1999-04-24 13:40:00,,1999-04-24 13:31:15,1495,360,Halo,,120,,1999-04-24 15:00:00,Southern event; No Type II data available
1999-05-03,20,50,0.0001,0540-0615,536,15N;032E,606,1999-05-03 06:06:00,110,1584,5,1999-05-03 05:36:00,1999-05-03 06:02:00,M4,4.00E-05,26,1999-05-03 05:30:00,1999-05-03 06:02:00,1999-05-03 06:32:00,M6.4,6.41E-05,0.143261492,62,32,199905030530,8,1999-05-03 05:40:00,1999-05-03 06:15:00,2,1999-05-03 06:06:05,1584,360,Halo,15,-32,720,1999-05-03 20:00:00,Event has a slow rise
1999-05-09,19,90,0.02,1800-1805,1753,N;095W,1827,1999-05-09 18:27:00,40,615,,1999-05-09 17:53:00,1999-05-09 18:07:00,M8,8.00E-05,14,1999-05-09 17:48:00,1999-05-09 18:07:00,1999-05-09 18:15:00,X1.0,0.000109857,0.091450289,27,19,199905091748,8,1999-05-09 18:00:00,1999-05-09 18:05:00,,1999-05-09 18:27:49,615,172,296,,95,,1999-05-09 19:00:00,Nothern Event; No Type II data available
1999-05-27,11,150,0.06,1045-1110,,S;120W,1106,1999-05-27 11:06:00,120,1691,3,,,,,,,,,,,,,,,,1999-05-27 10:45:00,1999-05-27 11:10:00,,1999-05-27 11:06:05,1691,360,Halo,,120,,1999-05-27 11:00:00,Southern event; No Type II data available
1999-06-01,20,200,0.29,1845-1910,,N;120W,1937,1999-06-01 19:37:00,180,1772,2,,,,,,,,,,,,,,,,1999-06-01 18:45:00,1999-06-01 19:10:00,,1999-06-01 19:37:35,1772,360,Halo,,120,,1999-06-01 20:00:00,Nothern Event; No Type II data available
1999-06-04,8,120,0.29,0655-0730,652,17N;069W,726,1999-06-04 07:26:00,80,2221,2,1999-06-04 06:52:00,1999-06-04 07:03:00,M4,4.00E-05,11,1999-06-04 06:49:00,1999-06-04 07:03:00,1999-06-04 07:11:00,M5.6,5.63E-05,0.035466857,22,14,199906040649,8,1999-06-04 06:55:00,1999-06-04 07:30:00,2,1999-06-04 07:26:54,2230,150,289,17,69,,1999-06-04 08:00:00,
1999-06-11,1,150,0.042,~0040,,N;120W,126,1999-06-11 01:26:00,50,719,,,,,,,,,,,,,,,,,1999-06-11 00:40:00,,3,1999-06-11 01:26:49,719,101,288,,120,,1999-06-11 01:00:00,Nothern Event
1999-06-18,18,30,0.001,1635-1640,1638,N;120W,,,,,1,1999-06-18 16:38:00,1999-06-18 16:57:00,C6,6.00E-06,19,1999-06-18 16:33:00,1999-06-18 16:57:00,,C8.3,8.37E-06,,,24,199906181633,8,1999-06-18 16:35:00,1999-06-18 16:40:00,,,,,,,120,,1999-06-18 18:00:00,CDAW CME First Look Time data gap. CDAW CME Width data gap. CDAW CME Speed data gap; Nothern Event; No Type II data available
