Solar Event Date (UT),SEP Event Onset Date (UT), Solar Event-B (deg),I(B),Solar Event-Earth (deg),I(Earth),Solar Event-A (deg),I(A),GOES X-Ray,Radio TyIII_Imp,Radio TyII Imp,CME dA (deg),CME V (km/s),Flare Xray Start Time Deprecated,Flare Magnitude Deprecated,Flare Class Deprecated,Flare Xray Start Time,Flare Xray Peak Time,Flare Xray End Time,Flare Class,Flare Magnitude,Flare Integrated Flux,Flare Duration,Flare Time To Peak,Flare Catalog ID,GOES Xray Satellite,Event Source Longitude,CDAW CME First Look Time,CDAW CME Speed,CDAW CME Width,CDAW CME Central Position Angle,CDAW CME Mean Position Angle,DONKI CME Start Time,DONKI CME Speed,DONKI CME Half Width,DONKI CME Lat,DONKI CME Lon,DONKI CME Time at 21.5,DONKI CME Feature,DONKI CME Measurement Technique,DONKI CME Catalog ID,SEP Reference Start,SEP Reference End,Case,Comments
2011-03-29 20:00:00,2011-03-30 04:00:00,-25,0.01,-120,,151,0.003,,0,0,195,1264,,,,,,,,,,,,,,-120,2011-03-29 20:36:07,1264,195,54,100,2011-03-29 20:36:00,1320,66,6,-115,2011-03-29 23:11:00,,,2011-03-29T20:36:00-CME-001,2011-03-30 04:00:00,2011-03-31 04:00:00,,CME dA (deg): > 195
2011-04-03 05:00:00,2011-04-03 06:00:00,170,,75,0.0008,-14,,C1.2,1,0,,,2011-04-03 05:00:00,1.20E-06,C1.2,2011-04-03 05:05:00,2011-04-03 05:14:00,,C1.7,1.76E-06,,,9,201104000000,15,75,,,,,,,,,,,,,,,2011-04-03 06:00:00,2011-04-04 06:00:00,,Data gap in CDAW
2011-04-04 03:00:00,2011-04-04 12:00:00,165,,70,0.001,-19,,B8.6,1,0,,,2011-04-04 03:00:00,8.60E-07,B8.6,2011-04-04 03:00:00,,,C1.2,1.23E-06,,,,,,70,,,,,,,,,,,,,,,2011-04-04 12:00:00,2011-04-05 12:00:00,,Data gap in CDAW
2011-04-21 00:00:00,2011-04-21 02:00:00,-105,,160,0.0007,70,0.001,,1,0,111,475,,,,,,,,,,,,,,160,2011-04-21 00:48:05,475,111,285,287,,,,,,,,,,2011-04-21 02:00:00,2011-04-22 02:00:00,,
2011-05-09 20:00:00,2011-05-10 00:00:00,0,0.002,-94,,174,,C5.4,1,2,292,1318,2011-05-09 20:00:00,5.40E-06,C5.4,2011-05-09 20:28:00,2011-05-09 20:59:00,2011-05-09 21:21:00,C7.7,7.77E-06,0.013445746,53,31,201105000000,15,-94,2011-05-09 20:57:26,1318,292,55,73,2011-05-09 21:00:00,776,58,26,-91,2011-05-10 00:59:00,LE,StereoCAT,2011-05-09T21:00:00-CME-001,2011-05-10 00:00:00,2011-05-11 00:00:00,,
2011-05-11 02:00:00,2011-05-11 04:00:00,147,,53,0.004,-39,,B8.1,1,0,225,745,2011-05-11 02:00:00,8.10E-07,B8.1,2011-05-11 02:21:00,2011-05-11 02:43:00,,C1.1,1.14E-06,,,22,201105000000,15,53,2011-05-11 02:48:06,745,225,320,283,2011-05-11 02:48:00,350,33,5,50,2011-05-11 13:00:00,,,2011-05-11T02:48:00-CME-001,2011-05-11 04:00:00,2011-05-12 04:00:00,,
2011-05-19 03:00:00,2011-05-19 06:00:00,126,,32,,-61,0.0001,B3.0,1,0,132,626,2011-05-19 03:00:00,3.00E-07,B3.0,2011-05-19 03:00:00,,,B4.2,4.29E-07,,,,,,32,2011-05-19 04:36:06,626,132,311,295,2011-05-19 04:36:00,611,20,20,36,2011-05-19 10:35:00,,,2011-05-19T04:36:00-CME-001,2011-05-19 06:00:00,2011-05-20 06:00:00,,
2011-05-29 20:00:00,2011-05-29 22:00:00,25,0.01,-68,,-162,,C8.7,1,2,186,1407,2011-05-29 20:00:00,8.70E-06,C8.7,2011-05-29 20:54:00,2011-05-29 21:22:00,2011-05-29 21:47:00,M1.2,1.26E-05,0.0269717,53,28,201105000000,15,-68,2011-05-29 21:24:08,1407,186,107,105,2011-05-29 21:30:00,915,40,-5,-55,2011-05-30 00:10:00,,,2011-05-29T21:30:00-CME-001,2011-05-29 22:00:00,2011-05-30 22:00:00,,
2011-06-29 00:00:00,2011-06-29 00:00:00,169,,77,0.0001,-20,,B7.3,1,0,122,481,2011-06-29 00:00:00,7.30E-07,B7.3,2011-06-29 00:17:00,2011-06-29 00:32:00,2011-06-29 00:57:00,C1.0,1.03E-06,0.001807107,40,15,201106000000,15,77,2011-06-29 00:48:06,481,122,267,276,2011-06-29 01:25:00,490,25,-20,60,2011-06-29 07:00:00,,,2011-06-29T01:25:00-CME-001,2011-06-29 00:00:00,2011-06-30 00:00:00,,
2011-07-11 10:00:00,2011-07-11 12:00:00,86,,-6,0.0001,-104,,C2.6,1,0,53,266,2011-07-11 10:00:00,2.60E-06,C2.6,2011-07-11 10:29:00,2011-07-11 11:03:00,2011-07-11 11:12:00,C3.7,3.74E-06,0.004530639,43,34,201107000000,15,-6,2011-07-11 12:00:06,266,53,213,212,,,,,,,,,,2011-07-11 12:00:00,2011-07-12 12:00:00,,
2011-07-26 08:00:00,2011-07-26 10:00:00,-82,0.0004,-175,,85,0.01,,1,1,360,382,,,,,,,,,,,,,,-175,2011-07-26 10:12:06,382,360,Halo,7,,,,,,,,,,2011-07-26 10:00:00,2011-07-27 10:00:00,,
2011-08-03 13:00:00,2011-08-03 14:00:00,123,,30,0.007,-70,,M6.0,1,0,360,610,2011-08-03 13:00:00,6.00E-05,M6.0,2011-08-03 13:10:00,2011-08-03 13:48:00,2011-08-03 14:10:00,M8.7,8.71E-05,0.179628134,60,38,201108000000,15,30,2011-08-03 14:00:07,610,360,Halo,307,2011-08-03 13:55:00,1320,44,15,30,2011-08-03 16:19:00,,,2011-08-03T13:55:00-CME-001,2011-08-03 14:00:00,2011-08-04 05:00:00,,
2011-08-23 22:00:00,2011-08-24 06:00:00,-85,,-179,,79,0.002,,0,0,360,312,,,,,,,,,,,,,,-179,2011-08-23 23:58:18,312,360,Halo,248,,,,,,,,,,2011-08-24 06:00:00,2011-08-25 06:00:00,,
2011-09-03 02:00:00,2011-09-03 03:00:00,-95,,170,0.0002,68,0.0003,,1,0,105,325,,,,,,,,,,,,,,170,2011-09-03 03:48:06,325,105,291,320,2011-09-03 04:24:00,360,30,16,150,2011-09-04 00:00:00,,,2011-09-03T04:24:00-CME-001,2011-09-03 03:00:00,2011-09-04 03:00:00,,
2011-09-04 04:00:00,2011-09-04 05:00:00,-163,,102,0.002,0,,C9.0,0,0,53,262,2011-09-04 04:00:00,9.00E-06,C9.0,2011-09-04 04:32:00,2011-09-04 04:53:00,2011-09-04 05:03:00,M1.2,1.29E-05,0.013678257,31,21,201109000000,15,102,2011-09-04 05:12:05,262,53,269,284,,,,,,,,,,2011-09-04 05:00:00,2011-09-05 02:00:00,,
2011-09-04 23:00:00,2011-09-05 02:00:00,-165,,100,0.0006,-3,0.0002,C7.9,1,0,146,622,2011-09-04 23:00:00,7.90E-06,C7.9,2011-09-04 23:55:00,2011-09-05 00:37:00,2011-09-05 01:05:00,M1.1,1.14E-05,0.032313611,70,42,201109000000,15,100,2011-09-05 00:48:05,622,146,308,304,,,,,,,,,,2011-09-05 02:00:00,2011-09-06 02:00:00,,
2011-09-07 18:00:00,2011-09-07 20:00:00,-50,,-145,,112,0.004,,1,1,188,924,,,,,,,,,,,,,,-145,2011-09-07 18:48:05,924,188,65,73,2011-09-07 19:00:00,632,45,16,-148,2011-09-07 23:48:00,,,2011-09-07T19:00:00-CME-001,2011-09-07 20:00:00,2011-09-08 20:00:00,,"Elevated intensity from previous event at STEREO-B, Earth"
2011-09-08 22:00:00,2011-09-09 00:00:00,-122,,143,,40,0.003,,1,1,281,983,,,,,,,,,,,,,,143,2011-09-08 22:12:06,983,281,350,315,,,,,,,,,,2011-09-09 00:00:00,2011-09-10 00:00:00,,"Elevated intensity from previous event at STEREO-B, Earth"
2011-09-13 12:00:00,2011-09-13 12:00:00,-161,,103,0.0003,0,,,1,0,199,746,,,,,,,,,,,,,,103,2011-09-13 12:36:06,746,199,310,309,2011-09-13 12:48:00,680,45,49,96,2011-09-13 18:00:00,,,2011-09-13T12:48:00-CME-001,2011-09-13 12:00:00,2011-09-14 12:00:00,,
2011-09-21 22:00:00,2011-09-21 23:00:00,-155,,109,0.002,5,0.0004,,1,0,255,1007,,,,,,,,,,,,,,109,2011-09-21 22:12:05,1007,255,325,305,2011-09-21 22:24:00,1500,60,5,125,2011-09-22 02:00:00,,,2011-09-21T22:24:00-CME-001,2011-09-21 23:00:00,2011-09-22 10:00:00,ESP,
2011-09-24 09:00:00,2011-09-24 11:00:00,37,0.5,-60,,-164,,X1.9,1,2,145,1936,2011-09-24 09:00:00,0.00019,X1.9,2011-09-24 09:29:00,2011-09-24 09:40:00,2011-09-24 09:48:00,X2.7,0.000273619,0.167590916,19,11,201109000000,15,-60,2011-09-24 09:48:06,1936,145,92,90,2011-09-24 10:24:00,634,20,-9,-50,2011-09-24 15:26:00,,,2011-09-24T10:24:00-CME-001,2011-09-24 11:00:00,2011-09-25 11:00:00,,"Elevated intensity from previous event at Earth, STEREO-A"
2011-10-04 12:00:00,2011-10-04 15:00:00,-50,0.2,-148,0.001,108,0.02,,1,0,360,1101,,,,,,,,,,,,,,-148,2011-10-04 13:25:51,1101,360,Halo,15,2011-10-04 13:10:00,1370,50,35,-155,2011-10-04 15:23:00,,,2011-10-04T13:10:00-CME-001,2011-10-04 15:00:00,2011-10-05 15:00:00,,
2011-10-14 11:00:00,2011-10-14 15:00:00,-40,0.0002,-140,,115,0.0005,,1,0,241,814,,,,,,,,,,,,,,-140,2011-10-14 12:24:05,814,241,32,106,2011-10-14 12:24:00,700,54,4,-133,2011-10-14 17:55:00,,,2011-10-14T12:24:00-CME-001,2011-10-14 15:00:00,2011-10-15 15:00:00,,
2011-10-20 03:00:00,2011-10-20 04:00:00,-155,,105,0.0008,0,0.0002,M1.6,1,0,193,893,2011-10-20 03:00:00,1.60E-05,M1.6,2011-10-20 03:06:00,2011-10-20 03:25:00,2011-10-20 03:44:00,M2.3,2.35E-05,0.032740626,38,19,201110000000,15,105,2011-10-20 03:36:05,893,193,298,288,2011-10-20 03:54:00,340,36,28,127,2011-10-20 11:55:00,,,2011-10-20T03:54:00-CME-001,2011-10-20 04:00:00,2011-10-21 04:00:00,,
2011-11-09 13:00:00,2011-11-09 14:00:00,68,0.002,-35,0.002,-141,,M1.1,1,2,360,907,2011-11-09 13:00:00,1.10E-05,M1.1,2011-11-09 13:01:00,2011-11-09 13:35:00,2011-11-09 14:12:00,M1.6,1.66E-05,0.048683971,71,34,201111000000,15,-35,2011-11-09 13:36:05,907,360,Halo,48,2011-11-09 13:39:00,1150,38,24,-35,2011-11-09 16:20:00,,,2011-11-09T13:39:00-CME-001,2011-11-09 14:00:00,2011-11-10 14:00:00,,
2011-11-12 18:00:00,2011-11-12 18:00:00,0,0.0002,-103,,151,0.0003,,1,0,192,654,,,,,,,,,,,,,,-103,2011-11-12 18:36:06,654,192,66,83,2011-11-12 18:36:00,695,70,-3,-110,2011-11-12 23:24:00,,,2011-11-12T18:36:00-CME-001,2011-11-12 18:00:00,2011-11-13 18:00:00,,
2011-11-13 18:00:00,2011-11-13 22:00:00,-70,0.0003,-174,,80,0.001,,1,0,360,596,,,,,,,,,,,,,,-174,2011-11-13 18:36:05,596,360,Halo,349,2011-11-13 18:36:00,888,60,15,176,2011-11-13 22:22:00,,,2011-11-13T18:36:00-CME-001,2011-11-13 22:00:00,2011-11-14 22:00:00,,
2011-11-17 20:00:00,2011-11-17 23:00:00,-20,0.01,-125,0.0005,129,0.001,,1,0,360,1041,,,,,,,,,,,,,,-125,2011-11-17 20:36:05,1041,360,Halo,100,2011-11-17 20:36:00,773,49,27,-118,2011-11-18 01:11:00,,,2011-11-17T20:36:00-CME-001,2011-11-17 23:00:00,2011-11-18 23:00:00,,1041 km/s CME occurs closer to 20:00:00 rather than 22:00:00 in original list.
