SEP Reference Start,SEP Reference End,Event Source Longitude,Event Source Latitude,25 MEV Proton Intensity (MeV s cm^2 sr)^-1,GLE Event Number,GOES >10 MeV (pfu),CME speed (km/s),CDAW CME First Look Time,CDAW CME Speed,CDAW CME Width,CDAW CME Central Position Angle,CDAW CME Mean Position Angle,Flare Xray Start Time Deprecated,Flare Magnitude Deprecated,Flare Class Deprecated,Flare Xray Start Time,Flare Xray Peak Time,Flare Xray End Time,Flare Class,Flare Magnitude,Flare Integrated Flux,Flare Duration,Flare Time To Peak,Flare Catalog ID,GOES Xray Satellite,Case,Comments
1970-08-23 05:30:00,1970-08-24 05:30:00,,,0.03,,,,,,,,,,,,,,,,,,,,,,,
1970-11-01 12:47:00,1970-11-02 12:47:00,50,16,,,,,,,,,,1970-11-01 12:47:00,4.00E-05,M4.0,1970-11-01 12:47:00,,,M5.7,5.71E-05,,,,,,,
1970-11-05 03:30:00,1970-11-06 03:30:00,-36,-12,1,,,,,,,,,1970-11-05 03:30:00,0.0004,X4.0,1970-11-05 03:30:00,,,X5.7,0.00057143,,,,,,,
1970-11-23 11:02:00,1970-11-24 11:02:00,66,8,0.01,,,,,,,,,1970-11-23 11:02:00,3.00E-05,M3.0,1970-11-23 11:02:00,,,M4.2,4.29E-05,,,,,,,
1970-12-05 23:25:00,1970-12-06 23:25:00,45,16,,,,,,,,,,1970-12-05 23:25:00,2.00E-05,M2.0,1970-12-05 23:25:00,,,M2.8,2.86E-05,,,,,,,
1970-12-11 22:41:00,1970-12-12 22:41:00,2,16,0.05,,,,,,,,,1970-12-11 22:41:00,0.0001,X1.0,1970-12-11 22:41:00,,,X1.4,0.00014286,,,,,,,
1970-12-24 06:55:00,1970-12-25 06:55:00,,,0.05,,,,,,,,,,,,,,,,,,,,,,,
1971-01-14 11:25:00,1971-01-15 11:25:00,56,-9,,,,,,,,,,1971-01-14 11:25:00,0.0001,X1.0,1971-01-14 11:25:00,,,X1.4,0.00014286,,,,,,,
1971-01-24 23:16:00,1971-01-25 23:16:00,50,18,20,22,,,,,,,,1971-01-24 23:16:00,0.0008,X8.0,1971-01-24 23:16:00,,,X11.4,0.0011429,,,,,,,
1971-04-02 00:30:00,1971-04-03 00:30:00,12,19,0.05,,,,,,,,,,,,,,,,,,,,,,,
1971-04-06 09:44:00,1971-04-07 09:44:00,80,-19,3,,,,,,,,,1971-04-06 09:44:00,2.00E-05,M2.0,1971-04-06 09:44:00,,,M2.8,2.86E-05,,,,,,,
1971-04-20 19:46:00,1971-04-21 19:46:00,50,-6,0.1,,,,,,,,,1971-04-20 19:46:00,4.00E-05,M4.0,1971-04-20 19:46:00,,,M5.7,5.71E-05,,,,,,,
